Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,32.25,32.39,32.04,32.06,1328900,31.27
2011-12-29,32.10,32.30,31.95,32.24,1295500,31.44
2011-12-28,32.22,32.32,31.90,31.97,2108800,31.18
2011-12-27,32.24,32.52,32.05,32.29,1213400,31.49
2011-12-23,32.52,32.52,32.12,32.35,1202900,31.55
2011-12-22,32.06,32.61,31.90,32.29,3409800,31.49
2011-12-21,31.90,32.15,31.49,31.92,3669900,31.13
2011-12-20,31.19,32.13,31.15,31.97,4949300,31.18
2011-12-19,30.80,31.41,30.56,30.61,5278400,29.85
2011-12-16,31.25,31.91,31.09,31.21,5884400,30.44
2011-12-15,31.38,31.49,30.79,31.02,4725900,30.25
2011-12-14,31.55,31.89,31.07,31.19,3820100,30.42
2011-12-13,32.49,32.83,31.44,31.58,3738900,30.80
2011-12-12,32.39,32.39,31.92,32.26,3750100,31.46
2011-12-09,31.93,32.75,31.80,32.64,3623800,31.83
2011-12-08,33.08,33.46,31.55,32.63,3245600,31.82
2011-12-07,33.04,33.60,32.79,33.35,5076200,32.52
2011-12-06,33.45,33.45,32.88,33.19,4446000,32.37
2011-12-05,33.45,33.75,33.16,33.36,5572000,32.53
2011-12-02,33.23,33.66,33.10,33.11,4838000,32.29
2011-12-01,32.93,33.27,32.73,33.06,5412300,32.24
2011-11-30,31.71,32.78,31.70,32.71,5756400,31.90
2011-11-29,30.82,31.37,30.67,30.95,3754800,30.18
2011-11-28,30.52,30.96,30.44,30.74,2993200,29.98
2011-11-25,30.13,30.47,30.00,30.07,1415000,29.33
2011-11-23,30.82,30.89,30.31,30.31,2481200,29.56
2011-11-22,31.14,31.37,30.66,31.09,3499800,30.32
2011-11-21,31.14,31.40,30.79,31.23,3333000,30.46
2011-11-18,31.79,32.09,31.45,31.47,3447800,30.69
2011-11-17,32.49,32.62,31.47,31.76,5669200,30.97
2011-11-16,32.71,33.51,32.63,32.69,4026000,31.88
2011-11-15,32.49,33.23,32.34,32.97,3002800,32.15
2011-11-14,32.85,33.07,32.30,32.51,2901900,31.71
2011-11-11,32.18,33.13,32.16,32.85,3487600,32.04
2011-11-10,32.44,32.44,31.62,31.98,3939300,31.19
2011-11-09,32.70,32.82,31.85,31.95,6005400,31.16
2011-11-08,33.17,33.64,32.81,33.31,3509500,32.49
2011-11-07,32.65,33.03,32.38,32.97,4079100,32.15
2011-11-04,32.23,32.90,32.06,32.85,6006200,31.85
2011-11-03,32.02,32.50,31.65,32.42,8034900,31.43
2011-11-02,33.44,33.44,31.62,31.81,9214700,30.84
2011-11-01,32.74,33.22,32.48,32.52,8031000,31.53
2011-10-31,33.07,33.93,32.98,33.46,6897600,32.44
2011-10-28,33.17,33.60,32.81,33.19,3047600,32.18
2011-10-27,32.54,33.44,32.41,33.25,5924800,32.24
2011-10-26,31.72,32.23,31.33,31.82,5353800,30.85
2011-10-25,31.42,31.97,31.29,31.56,5914200,30.60
2011-10-24,30.93,31.94,30.77,31.49,5147700,30.53
2011-10-21,30.02,30.82,30.01,30.22,5355200,29.30
2011-10-20,30.18,30.97,29.22,29.60,7496500,28.70
2011-10-19,30.55,30.55,29.51,29.60,6582500,28.70
2011-10-18,30.06,30.96,29.78,30.81,4037300,29.87
2011-10-17,30.56,30.68,30.02,30.27,5473500,29.35
2011-10-14,30.39,30.59,29.81,30.59,4737200,29.66
2011-10-13,29.32,30.25,29.15,30.04,4199700,29.13
2011-10-12,29.73,29.89,29.41,29.48,4760500,28.58
2011-10-11,29.46,29.75,29.27,29.42,3201300,28.53
2011-10-10,29.05,29.79,28.97,29.56,2977700,28.66
2011-10-07,28.79,29.16,28.30,28.78,4831100,27.91
2011-10-06,28.30,28.71,27.91,28.69,4202500,27.82
2011-10-05,28.01,28.63,27.56,28.28,5425900,27.42
2011-10-04,26.66,28.22,26.55,28.05,7198500,27.20
2011-10-03,27.22,27.80,26.77,27.06,4626700,26.24
2011-09-30,28.06,28.31,27.44,27.44,4299900,26.61
2011-09-29,28.93,29.13,27.86,28.36,4798000,27.50
2011-09-28,29.36,29.45,28.49,28.53,4241800,27.66
2011-09-27,29.18,29.78,28.91,29.22,3738600,28.33
2011-09-26,29.10,29.17,28.09,28.84,5277300,27.96
2011-09-23,28.18,29.17,27.83,28.92,4666200,28.04
2011-09-22,28.58,28.78,27.64,28.28,8092000,27.42
2011-09-21,30.00,30.27,29.22,29.24,7116300,28.35
2011-09-20,31.12,31.43,29.96,30.03,9521300,29.12
2011-09-19,31.27,31.68,31.11,31.45,3130000,30.49
2011-09-16,31.79,32.22,31.59,31.74,3854300,30.78
2011-09-15,31.86,31.89,30.97,31.67,4721100,30.71
2011-09-14,31.32,31.99,30.93,31.55,4921800,30.59
2011-09-13,30.78,31.27,30.64,31.08,4713100,30.14
2011-09-12,29.76,30.82,29.74,30.78,4948300,29.84
2011-09-09,30.25,30.76,29.76,30.01,5186800,29.10
2011-09-08,30.34,31.15,30.16,30.55,3148300,29.62
2011-09-07,30.57,30.89,30.06,30.45,5455400,29.52
2011-09-06,29.17,30.40,29.12,30.37,5756100,29.45
2011-09-02,30.10,30.44,29.57,29.80,6439900,28.89
2011-09-01,31.30,31.48,30.83,30.83,4038000,29.89
2011-08-31,31.54,31.56,30.77,31.14,5694100,30.19
2011-08-30,31.11,31.59,30.98,31.45,4754200,30.49
2011-08-29,30.58,31.24,30.42,31.21,3597400,30.26
2011-08-26,29.24,30.25,29.02,30.24,4702600,29.32
2011-08-25,29.87,30.07,29.42,29.46,3989700,28.56
2011-08-24,29.97,30.00,29.35,29.79,3819800,28.88
2011-08-23,29.00,30.08,28.89,30.06,5328400,29.15
2011-08-22,28.90,29.17,28.62,28.86,4586200,27.98
2011-08-19,28.48,29.27,28.26,28.36,4382500,27.50
2011-08-18,29.33,29.34,28.48,28.80,6209000,27.92
2011-08-17,30.16,30.77,29.90,30.22,3784200,29.30
2011-08-16,30.53,30.70,29.92,30.23,5220200,29.31
2011-08-15,30.22,30.76,30.22,30.74,2661700,29.81
2011-08-12,29.96,30.39,29.79,30.11,4568700,29.19
2011-08-11,29.01,30.47,29.01,30.19,8209900,29.27
2011-08-10,28.94,30.14,28.60,29.27,9859500,28.38
2011-08-09,29.14,30.04,28.14,29.67,9556100,28.77
2011-08-08,28.73,29.68,28.56,28.86,8927200,27.98
2011-08-05,30.30,30.77,29.30,29.93,10502600,28.84
2011-08-04,31.01,31.19,30.02,30.05,7241100,28.95
2011-08-03,31.04,31.50,30.47,31.41,4588200,30.26
2011-08-02,31.48,31.83,30.93,30.96,6261900,29.83
2011-08-01,32.36,32.52,31.39,31.84,4148400,30.68
2011-07-29,31.87,32.49,31.61,32.10,5712900,30.93
2011-07-28,32.27,32.70,31.96,32.10,3779900,30.93
2011-07-27,33.16,33.16,32.08,32.27,7694000,31.09
2011-07-26,33.49,34.05,33.43,33.49,2611900,32.27
2011-07-25,33.19,33.74,33.10,33.42,3334200,32.20
2011-07-22,33.62,34.04,33.29,33.66,4275700,32.43
2011-07-21,31.93,33.78,31.81,33.71,10622500,32.48
2011-07-20,33.29,33.60,32.80,33.18,6247900,31.97
2011-07-19,33.52,33.92,33.50,33.69,3999300,32.46
2011-07-18,33.45,33.56,33.01,33.28,3508400,32.06
2011-07-15,33.64,33.70,33.06,33.48,4821200,32.26
2011-07-14,34.11,34.32,33.32,33.53,4604300,32.30
2011-07-13,34.57,34.59,33.75,33.92,4900000,32.68
2011-07-12,35.61,35.62,33.72,34.31,7963600,33.06
2011-07-11,35.76,36.40,35.52,35.66,3293900,34.36
2011-07-08,36.66,36.74,35.77,36.24,3959000,34.92
2011-07-07,36.78,37.37,36.59,37.11,4470400,35.75
2011-07-06,36.51,36.72,36.20,36.52,3234200,35.19
2011-07-05,37.07,37.15,36.53,36.63,3171400,35.29
2011-07-01,36.57,37.23,36.35,37.06,3763500,35.71
2011-06-30,35.54,36.60,35.48,36.47,4669100,35.14
2011-06-29,35.57,35.80,35.09,35.37,3196400,34.08
2011-06-28,35.15,35.52,35.08,35.48,2754400,34.18
2011-06-27,34.61,35.46,34.38,35.17,3817500,33.88
2011-06-24,34.88,35.28,34.57,34.64,5578600,33.37
2011-06-23,33.79,35.00,33.65,34.97,5459500,33.69
2011-06-22,34.10,34.45,33.72,34.22,3413700,32.97
2011-06-21,33.78,34.37,33.45,34.19,3221200,32.94
2011-06-20,32.93,33.62,32.90,33.60,3917000,32.37
2011-06-17,33.74,33.78,32.92,32.95,6862100,31.75
2011-06-16,33.63,33.75,32.93,33.24,5007600,32.03
2011-06-15,33.45,34.14,33.23,33.60,6391000,32.37
2011-06-14,33.63,33.96,33.58,33.81,2890800,32.57
2011-06-13,33.34,33.69,33.15,33.34,3166000,32.12
2011-06-10,33.70,33.81,33.30,33.56,5174200,32.33
2011-06-09,33.46,33.99,33.17,33.81,4450000,32.57
2011-06-08,34.00,34.04,33.21,33.36,4520600,32.14
2011-06-07,34.20,34.52,34.05,34.20,3957000,32.95
2011-06-06,33.73,34.13,33.63,33.76,3787000,32.53
2011-06-03,34.49,34.65,33.67,33.73,4290100,32.50
2011-06-02,34.85,35.15,34.52,34.84,3167000,33.57
2011-06-01,35.67,35.69,34.66,34.67,3956800,33.40
2011-05-31,35.32,35.98,35.27,35.68,5648100,34.38
2011-05-27,34.79,35.09,34.68,34.92,2334700,33.64
2011-05-26,34.42,34.92,34.25,34.74,3817900,33.47
2011-05-25,34.52,34.77,34.32,34.52,3945700,33.26
2011-05-24,34.90,34.98,34.43,34.45,3773700,33.19
2011-05-23,35.34,35.40,34.79,34.83,4400000,33.56
2011-05-20,36.01,36.15,35.56,35.77,3413800,34.46
2011-05-19,36.30,36.35,35.84,36.06,2526000,34.74
2011-05-18,35.34,36.37,35.30,36.28,3316200,34.95
2011-05-17,35.23,35.32,34.81,35.28,4627900,33.99
2011-05-16,35.58,35.94,35.18,35.37,3308600,34.08
2011-05-13,36.26,36.32,35.75,35.95,3234900,34.45
2011-05-12,35.49,36.49,35.41,36.25,3800000,34.74
2011-05-11,35.78,35.89,35.24,35.60,3000000,34.12
2011-05-10,35.74,35.88,35.42,35.83,4203600,34.34
2011-05-09,35.80,35.80,35.20,35.56,3628600,34.08
2011-05-06,35.96,36.18,35.67,35.73,4631100,34.24
2011-05-05,35.00,35.90,34.95,35.61,6200000,34.13
2011-05-04,35.00,35.38,34.71,35.15,4865300,33.69
2011-05-03,35.00,35.20,34.54,34.88,4300000,33.43
2011-05-02,35.01,35.25,34.72,35.02,4920800,33.56
2011-04-29,34.74,35.38,34.74,34.86,9016800,33.41
2011-04-28,33.13,35.01,32.93,34.95,12000000,33.49
2011-04-27,32.75,33.13,32.34,32.86,6566700,31.49
2011-04-26,31.83,32.73,31.78,32.50,5800000,31.15
2011-04-25,31.68,31.89,31.53,31.85,2816900,30.52
2011-04-21,31.67,31.96,31.61,31.77,2348700,30.45
2011-04-20,31.10,31.86,31.10,31.72,4372000,30.40
2011-04-19,30.72,30.86,30.46,30.55,4054200,29.28
2011-04-18,31.10,31.16,30.53,30.70,4723400,29.42
2011-04-15,31.25,31.55,30.83,31.46,3294800,30.15
2011-04-14,30.87,31.23,30.79,31.11,3356800,29.81
2011-04-13,30.79,31.19,30.64,31.18,4444600,29.88
2011-04-12,31.18,31.21,30.55,30.64,5223100,29.36
2011-04-11,31.73,31.73,31.27,31.32,2780600,30.02
2011-04-08,31.93,32.40,31.44,31.65,2899900,30.33
2011-04-07,31.97,32.24,31.63,31.87,4263600,30.54
2011-04-06,32.05,32.27,31.78,32.11,3372800,30.77
2011-04-05,32.10,32.34,31.76,31.83,4490700,30.50
2011-04-04,32.29,32.39,31.54,31.83,3697000,30.50
2011-04-01,33.19,33.19,32.12,32.15,4075400,30.81
2011-03-31,32.77,33.11,32.50,32.80,3262500,31.43
2011-03-30,33.18,33.25,32.68,32.82,3159400,31.45
2011-03-29,32.85,33.14,32.38,33.00,2813400,31.63
2011-03-28,33.19,33.22,32.78,32.84,2630500,31.47
2011-03-25,33.19,33.50,32.82,32.97,5089500,31.60
2011-03-24,32.78,33.04,32.36,32.98,3546500,31.61
2011-03-23,31.97,32.61,31.81,32.51,4473100,31.16
2011-03-22,32.21,32.59,31.98,31.98,3879100,30.65
2011-03-21,32.11,32.81,32.02,32.30,3345700,30.95
2011-03-18,31.99,32.14,31.48,31.77,7147600,30.45
2011-03-17,32.30,32.43,31.62,31.63,5408000,30.31
2011-03-16,31.37,32.91,31.23,31.87,13807900,30.54
2011-03-15,30.45,31.64,30.07,31.37,6664500,30.06
2011-03-14,32.31,32.63,31.48,31.82,6525100,30.49
2011-03-11,31.67,32.46,31.65,32.33,3920400,30.98
2011-03-10,31.52,32.38,31.22,31.90,7102500,30.57
2011-03-09,33.39,33.59,31.68,32.04,10772800,30.71
2011-03-08,34.25,34.46,33.89,33.92,5456500,32.51
2011-03-07,35.15,35.15,33.52,34.16,7016800,32.74
2011-03-04,35.06,35.14,34.67,34.96,4000400,33.50
2011-03-03,34.89,35.42,34.83,35.11,6676500,33.65
