Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,5.34,5.45,5.28,5.40,6906000,5.40
2011-12-29,5.31,5.39,5.27,5.34,6145100,5.34
2011-12-28,5.39,5.42,5.24,5.28,5277600,5.28
2011-12-27,5.40,5.48,5.34,5.38,5648100,5.38
2011-12-23,5.49,5.51,5.35,5.41,6666000,5.41
2011-12-22,5.12,5.50,5.10,5.45,16217300,5.45
2011-12-21,5.12,5.20,4.99,5.08,11852700,5.08
2011-12-20,4.96,5.20,4.95,5.19,13554100,5.19
2011-12-19,5.20,5.20,4.82,4.86,14173400,4.86
2011-12-16,5.08,5.14,5.02,5.13,11679700,5.13
2011-12-15,5.14,5.17,5.01,5.04,13624900,5.04
2011-12-14,5.14,5.18,5.01,5.07,13350800,5.07
2011-12-13,5.33,5.39,5.12,5.18,22707700,5.18
2011-12-12,5.38,5.39,5.22,5.30,14586200,5.30
2011-12-09,5.49,5.56,5.39,5.54,13352500,5.54
2011-12-08,5.64,5.69,5.45,5.47,16654200,5.47
2011-12-07,5.60,5.74,5.53,5.72,12659400,5.72
2011-12-06,5.74,5.78,5.61,5.66,11406800,5.66
2011-12-05,5.75,5.84,5.69,5.76,11215800,5.76
2011-12-02,5.77,5.83,5.65,5.65,7733000,5.65
2011-12-01,5.61,5.74,5.54,5.70,10881400,5.70
2011-11-30,5.49,5.69,5.47,5.69,16152400,5.69
2011-11-29,5.33,5.44,5.30,5.32,10195400,5.32
2011-11-28,5.24,5.35,5.20,5.30,12143000,5.30
2011-11-25,5.03,5.11,4.96,4.99,8669000,4.99
2011-11-23,5.22,5.22,5.01,5.05,18338100,5.05
2011-11-22,5.37,5.46,5.29,5.30,19461400,5.30
2011-11-21,5.34,5.48,5.22,5.42,15305400,5.42
2011-11-18,5.48,5.52,5.40,5.47,12677100,5.47
2011-11-17,5.71,5.74,5.40,5.44,18207600,5.44
2011-11-16,5.71,5.85,5.64,5.68,12713300,5.68
2011-11-15,5.74,5.85,5.70,5.76,13712500,5.76
2011-11-14,5.93,5.99,5.76,5.79,12270200,5.79
2011-11-11,5.69,6.00,5.67,5.95,22806700,5.95
2011-11-10,5.49,5.72,5.34,5.66,23914400,5.66
2011-11-09,5.55,5.64,5.38,5.38,18518400,5.38
2011-11-08,5.72,5.78,5.64,5.75,14000000,5.75
2011-11-07,5.67,5.77,5.53,5.68,14564500,5.68
2011-11-04,5.61,5.77,5.49,5.67,17552600,5.67
2011-11-03,5.53,5.77,5.30,5.73,26417100,5.73
2011-11-02,5.45,5.49,5.34,5.46,21246800,5.46
2011-11-01,5.56,5.59,5.29,5.30,45412600,5.30
2011-10-31,5.84,5.96,5.80,5.83,19381300,5.83
2011-10-28,5.83,6.05,5.71,5.94,47582100,5.94
2011-10-27,5.27,5.60,5.17,5.54,41294000,5.54
2011-10-26,4.99,5.13,4.87,5.10,19662200,5.10
2011-10-25,5.00,5.05,4.86,4.91,14842800,4.91
2011-10-24,4.74,5.06,4.74,5.06,24368900,5.06
2011-10-21,4.65,4.73,4.61,4.72,13915400,4.72
2011-10-20,4.72,4.76,4.45,4.54,25240900,4.54
2011-10-19,4.90,4.92,4.69,4.73,18304000,4.73
2011-10-18,4.68,4.84,4.57,4.83,21338700,4.83
2011-10-17,4.90,4.90,4.65,4.67,16611900,4.67
2011-10-14,5.04,5.07,4.85,4.92,12805400,4.92
2011-10-13,4.94,4.98,4.85,4.97,17307600,4.97
2011-10-12,4.94,5.07,4.92,4.93,19261200,4.93
2011-10-11,4.86,4.93,4.78,4.86,15419700,4.86
2011-10-10,4.85,4.97,4.75,4.84,14709800,4.84
2011-10-07,4.94,4.99,4.69,4.73,22123200,4.73
2011-10-06,4.91,4.91,4.70,4.85,19193800,4.85
2011-10-05,4.65,4.90,4.52,4.83,28840200,4.83
2011-10-04,4.42,4.72,4.31,4.72,37500000,4.72
2011-10-03,5.03,5.03,4.52,4.53,39505500,4.53
2011-09-30,5.23,5.30,5.07,5.08,29671100,5.08
2011-09-29,5.49,5.65,5.11,5.31,67973500,5.31
2011-09-28,6.51,6.57,6.15,6.15,29234600,6.15
2011-09-27,6.57,6.76,6.44,6.49,26947400,6.49
2011-09-26,6.37,6.43,6.11,6.40,27779100,6.40
2011-09-23,6.01,6.23,5.95,6.17,21921300,6.17
2011-09-22,6.24,6.30,5.90,6.12,44630800,6.12
2011-09-21,6.80,6.85,6.48,6.48,20043200,6.48
2011-09-20,6.96,6.99,6.73,6.74,17428300,6.74
2011-09-19,6.96,7.14,6.85,6.92,36465500,6.92
2011-09-16,7.38,7.42,7.13,7.20,19877300,7.20
2011-09-15,7.30,7.44,7.25,7.34,23786400,7.34
2011-09-14,7.02,7.26,6.98,7.21,23767100,7.21
2011-09-13,6.77,7.00,6.66,6.96,19043000,6.96
2011-09-12,6.40,6.75,6.40,6.71,20412200,6.71
2011-09-09,6.69,6.82,6.48,6.52,17494200,6.52
2011-09-08,6.72,6.96,6.63,6.81,32017100,6.81
2011-09-07,6.50,6.76,6.44,6.76,18692700,6.76
2011-09-06,6.09,6.32,6.07,6.27,16300900,6.27
2011-09-02,6.35,6.48,6.28,6.32,17934000,6.32
2011-09-01,6.83,6.87,6.67,6.68,15254200,6.68
2011-08-31,6.84,6.94,6.75,6.83,26838200,6.83
2011-08-30,6.76,6.93,6.69,6.84,17400800,6.84
2011-08-29,6.58,6.83,6.57,6.83,13491500,6.83
2011-08-26,6.30,6.60,6.22,6.49,17110800,6.49
2011-08-25,6.32,6.70,6.29,6.37,27369300,6.37
2011-08-24,6.50,6.51,6.16,6.34,17181400,6.34
2011-08-23,6.08,6.50,5.89,6.50,31113900,6.50
2011-08-22,6.13,6.18,5.95,6.05,18433500,6.05
2011-08-19,5.72,6.09,5.71,5.98,37995200,5.98
2011-08-18,5.90,5.96,5.64,5.79,27200300,5.79
2011-08-17,6.41,6.47,6.08,6.14,15248500,6.14
2011-08-16,6.36,6.43,6.18,6.34,16355700,6.34
2011-08-15,6.28,6.45,6.22,6.43,11476700,6.43
2011-08-12,6.31,6.42,6.18,6.21,15588000,6.21
2011-08-11,5.93,6.26,5.87,6.17,25934800,6.17
2011-08-10,5.63,6.19,5.60,5.85,35411100,5.85
2011-08-09,6.08,6.19,5.79,6.18,25314600,6.18
2011-08-08,6.03,6.25,5.90,5.94,41251000,5.94
2011-08-05,6.59,6.75,6.16,6.56,39379400,6.56
2011-08-04,7.05,7.05,6.50,6.50,34761500,6.50
2011-08-03,7.06,7.23,6.84,7.16,31581700,7.16
2011-08-02,7.18,7.24,6.87,7.11,33153300,7.11
2011-08-01,7.54,7.58,7.10,7.22,23191400,7.22
2011-07-29,7.32,7.49,7.21,7.34,20881800,7.34
2011-07-28,7.50,7.63,7.36,7.42,16730800,7.42
2011-07-27,7.60,7.71,7.44,7.51,23537800,7.51
2011-07-26,7.67,7.87,7.63,7.66,21457900,7.66
2011-07-25,7.62,7.77,7.43,7.63,32285600,7.63
2011-07-22,7.09,7.79,7.07,7.75,86038800,7.75
2011-07-21,6.59,6.61,6.44,6.50,29318700,6.50
2011-07-20,6.56,6.62,6.40,6.60,18422800,6.60
2011-07-19,6.29,6.55,6.23,6.48,25765100,6.48
2011-07-18,6.37,6.43,6.09,6.18,31233200,6.18
2011-07-15,6.45,6.53,6.39,6.43,12736200,6.43
2011-07-14,6.45,6.59,6.35,6.44,19663800,6.44
2011-07-13,6.49,6.63,6.40,6.48,20844400,6.48
2011-07-12,6.72,6.72,6.31,6.43,37605500,6.43
2011-07-11,6.80,6.90,6.75,6.76,26012400,6.76
2011-07-08,7.06,7.06,6.92,6.95,19983500,6.95
2011-07-07,7.08,7.20,7.05,7.15,12530200,7.15
2011-07-06,7.10,7.11,7.00,7.00,13087600,7.00
2011-07-05,7.11,7.16,7.06,7.14,16220600,7.14
2011-07-01,6.99,7.13,6.89,7.11,27641600,7.11
2011-06-30,6.93,7.12,6.90,6.99,25400800,6.99
2011-06-29,7.00,7.05,6.79,6.89,27292900,6.89
2011-06-28,6.95,7.08,6.90,6.95,20625100,6.95
2011-06-27,6.91,6.96,6.83,6.92,9519100,6.92
2011-06-24,7.02,7.03,6.86,6.90,17827700,6.90
2011-06-23,6.98,7.08,6.74,7.06,33904500,7.06
2011-06-22,7.15,7.19,7.05,7.06,17390400,7.06
2011-06-21,6.98,7.25,6.95,7.22,26234300,7.22
2011-06-20,6.96,7.00,6.72,6.89,33807900,6.89
2011-06-17,7.29,7.29,6.96,7.00,31095600,7.00
2011-06-16,7.65,7.73,7.05,7.19,48145200,7.19
2011-06-15,7.58,7.66,7.45,7.50,14470900,7.50
2011-06-14,7.67,7.79,7.61,7.67,12738700,7.67
2011-06-13,7.54,7.63,7.45,7.54,12448600,7.54
2011-06-10,7.63,7.67,7.44,7.59,14571600,7.59
2011-06-09,7.65,7.73,7.59,7.64,15715800,7.64
2011-06-08,7.72,7.89,7.54,7.62,27123800,7.62
2011-06-07,7.87,7.95,7.71,7.71,17796100,7.71
2011-06-06,7.97,7.99,7.77,7.80,12263100,7.80
2011-06-03,8.09,8.17,7.92,7.97,21264700,7.97
2011-06-02,8.39,8.44,8.21,8.24,15133300,8.24
2011-06-01,8.65,8.68,8.36,8.37,13363300,8.37
2011-05-31,8.56,8.71,8.53,8.68,11527400,8.68
2011-05-27,8.53,8.60,8.44,8.49,9624700,8.49
2011-05-26,8.45,8.50,8.36,8.48,8118900,8.48
2011-05-25,8.43,8.47,8.31,8.43,12008700,8.43
2011-05-24,8.55,8.57,8.37,8.39,15950500,8.39
2011-05-23,8.49,8.69,8.45,8.49,16884200,8.49
2011-05-20,8.58,8.70,8.54,8.62,16694300,8.62
2011-05-19,8.62,8.71,8.55,8.64,15699700,8.64
2011-05-18,8.53,8.73,8.52,8.67,17954500,8.67
2011-05-17,8.62,8.62,8.38,8.54,20017900,8.54
2011-05-16,8.77,8.95,8.65,8.67,16573500,8.67
2011-05-13,8.92,9.07,8.85,8.90,12875500,8.90
2011-05-12,8.78,8.96,8.73,8.93,17255300,8.93
2011-05-11,8.89,9.07,8.80,8.88,14888900,8.88
2011-05-10,8.75,8.96,8.72,8.94,15046500,8.94
2011-05-09,8.93,8.97,8.83,8.94,9486900,8.94
2011-05-06,9.00,9.05,8.89,8.92,17439500,8.92
2011-05-05,8.68,8.99,8.67,8.87,14692400,8.87
2011-05-04,8.77,8.86,8.64,8.79,16845200,8.79
2011-05-03,9.00,9.05,8.63,8.80,17344300,8.80
2011-05-02,9.16,9.17,8.99,9.03,10711100,9.03
2011-04-29,9.04,9.14,9.02,9.10,11383900,9.10
2011-04-28,8.88,9.09,8.85,9.07,17041600,9.07
2011-04-27,8.86,8.95,8.81,8.95,12857900,8.95
2011-04-26,8.70,8.92,8.64,8.88,22000000,8.88
2011-04-25,8.67,8.72,8.42,8.70,21700300,8.70
2011-04-21,8.73,8.77,8.63,8.71,18746500,8.71
2011-04-20,8.48,8.65,8.41,8.63,21385600,8.63
2011-04-19,8.21,8.29,8.16,8.27,12075200,8.27
2011-04-18,8.11,8.28,8.01,8.20,16728600,8.20
2011-04-15,8.20,8.28,8.08,8.27,12619500,8.27
2011-04-14,8.14,8.22,8.02,8.19,13562200,8.19
2011-04-13,8.35,8.37,8.18,8.20,11568900,8.20
2011-04-12,8.35,8.39,8.16,8.26,12465200,8.26
2011-04-11,8.46,8.58,8.40,8.42,16621600,8.42
2011-04-08,8.47,8.51,8.31,8.47,19905400,8.47
2011-04-07,8.48,8.54,8.29,8.41,14977000,8.41
2011-04-06,8.22,8.51,8.17,8.43,21004600,8.43
2011-04-05,8.23,8.35,8.10,8.11,26127800,8.11
2011-04-04,8.40,8.42,8.01,8.10,26709200,8.10
2011-04-01,8.61,8.69,8.27,8.36,20393200,8.36
2011-03-31,8.77,8.85,8.57,8.60,18376500,8.60
2011-03-30,8.74,8.85,8.61,8.79,14592700,8.79
2011-03-29,8.69,8.70,8.54,8.68,14767300,8.68
2011-03-28,8.89,8.89,8.68,8.69,12030000,8.69
2011-03-25,8.78,8.90,8.73,8.88,17489100,8.88
2011-03-24,8.66,8.85,8.61,8.83,17440600,8.83
2011-03-23,8.36,8.60,8.28,8.59,13611100,8.59
2011-03-22,8.54,8.62,8.36,8.36,11878000,8.36
2011-03-21,8.73,8.74,8.51,8.55,13728600,8.55
2011-03-18,8.45,8.63,8.34,8.55,21509200,8.55
2011-03-17,8.29,8.40,8.20,8.31,14552000,8.31
2011-03-16,8.28,8.46,8.05,8.12,21088500,8.12
2011-03-15,7.99,8.34,7.93,8.28,19782900,8.28
2011-03-14,8.56,8.75,8.35,8.43,17092200,8.43
2011-03-11,8.26,8.67,8.26,8.65,21127900,8.65
2011-03-10,8.53,8.55,8.36,8.42,26255500,8.42
2011-03-09,8.94,8.94,8.63,8.67,23332100,8.67
2011-03-08,8.88,9.10,8.75,8.99,20298300,8.99
2011-03-07,9.19,9.22,8.74,8.84,29786000,8.84
2011-03-04,9.33,9.39,9.15,9.23,23059400,9.23
2011-03-03,9.31,9.37,9.18,9.28,18762800,9.28
2011-03-02,9.05,9.34,9.05,9.17,21253600,9.17
2011-03-01,9.27,9.32,9.00,9.03,19415000,9.03
2011-02-28,9.34,9.39,9.05,9.21,21558600,9.21
2011-02-25,9.25,9.45,9.23,9.29,29307900,9.29
2011-02-24,8.59,9.18,8.57,9.10,40939000,9.10
2011-02-23,8.78,8.95,8.37,8.55,32335800,8.55
2011-02-22,8.88,9.17,8.82,8.85,32256700,8.85
2011-02-18,9.52,9.58,9.15,9.18,30992800,9.18
2011-02-17,8.96,9.51,8.94,9.44,53360500,9.44
2011-02-16,8.65,9.12,8.61,8.99,47680900,8.99
2011-02-15,8.60,8.76,8.44,8.60,30341600,8.60
2011-02-14,8.26,8.74,8.25,8.63,37759600,8.63
